date,StnPres,SeaPres,Temperature,Td dew point,RH,WS,WD,WSGust,WDGust,Precp,PrecpHour,UVI,Cloud Amount
2022-05-18,1010.0625,1013.1916666666666,24.65833333333333,20.5,78.375,2.8375,247.91666666666666,5.599999999999999,180.41666666666666,0.0,0.0,2.4583333333333335,8.488750000000001
2022-05-19,1008.1166666666667,1011.2125,26.325,23.145833333333332,83.375,2.0791666666666666,218.75,4.5249999999999995,225.83333333333334,0.0,0.1,2.375,7.8125
2022-05-20,1004.5083333333333,1007.5791666666668,26.895833333333332,23.479166666666668,82.20833333333333,3.420833333333333,246.66666666666666,7.004166666666666,242.08333333333334,0.0,0.0,2.6666666666666665,4.317916666666666
2022-05-21,1004.8583333333332,1007.9333333333334,26.933333333333334,22.454166666666666,77.08333333333333,2.204166666666667,210.41666666666666,4.770833333333333,237.91666666666666,0.0,0.0,2.375,3.614166666666667
2022-05-22,1005.0,1008.0791666666668,26.995833333333337,22.416666666666668,76.5,2.2291666666666665,227.08333333333334,5.15,211.25,0.0,0.0,2.4166666666666665,7.114999999999999
2022-05-23,1005.7041666666668,1008.7958333333332,27.233333333333334,23.129166666666674,78.75,2.2375000000000003,152.08333333333334,4.854166666666667,176.66666666666666,0.0,0.1,1.7083333333333333,9.0
2022-05-24,1007.5333333333333,1010.625,27.620833333333337,24.7375,84.625,2.0875,144.58333333333334,5.483333333333334,147.91666666666666,4.0,2.8,1.0,9.077916666666667
2022-05-25,1006.1291666666666,1009.2166666666667,27.358333333333334,24.645833333333332,85.66666666666667,3.1125000000000003,160.83333333333334,6.2875000000000005,155.0,0.0,1.8,1.6666666666666667,9.5
2022-05-26,1003.7416666666667,1006.8416666666666,26.504166666666663,24.916666666666668,91.125,2.8541666666666665,157.91666666666666,6.479166666666667,158.33333333333334,95.0,7.1000000000000005,1.625,9.380416666666667
2022-05-27,1004.0083333333333,1007.1041666666666,26.849999999999998,25.416666666666668,92.0,2.783333333333333,172.5,6.041666666666667,177.91666666666666,17.0,3.3,1.0,8.589166666666666
